Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
1,"team0756 NFLS-T01 南京外国语学校",9,28:00:02,00:07:00,(-9),,"01:37:51 (-1)",02:39:12,"00:26:20 (-1)",,"03:05:22 (-1)","04:51:21 (-2)","02:45:29 (-5)",(-1),"03:44:04 (-5)","02:03:23 (-5)"
2,"team0779 SMZX01 佛山石门中学",9,28:29:45,"00:13:07 (-2)","03:32:49 (-12)",,01:06:09,01:34:03,00:23:01,,"04:32:02 (-8)",,"00:53:05 (-2)",,"02:31:25 (-1)","04:24:04 (-3)"
3,"team0759 NFLS-T04 南京外国语学校",8,23:23:41,00:07:22,,,04:19:58,"02:34:56 (-2)",00:16:23,,"03:04:35 (-9)","03:17:40 (-2)","00:50:56 (-3)",,,"01:31:51 (-6)"
4,"team0758 NFLS-T03 南京外国语学校",8,25:39:34,"00:12:09 (-3)",,,01:24:06,01:28:43,"01:15:43 (-2)","02:58:09 (-4)","03:37:28 (-8)",,"01:49:26 (-5)",,"04:13:50 (-4)",
5,"team0982 金陵2队 南京市第一中学",7,16:27:21,00:38:51,,,01:57:09,"01:54:04 (-1)","01:27:41 (-1)",,02:55:36,,"01:17:40 (-4)",,"03:56:20 (-1)",
6,"team0771 NFLS-T16 南京外国语学校",7,19:00:37,"00:19:46 (-2)",,,"02:33:36 (-1)",01:46:17,00:34:35,,"02:20:41 (-10)",,"01:26:27 (-2)",,,"04:39:15 (-1)"
7,"team0757 NFLS-T02 南京外国语学校",7,21:01:33,"00:05:32 (-1)",(-37),,"00:54:37 (-1)","01:21:13 (-1)",00:40:23,,"04:39:28 (-23)",,"01:08:11 (-1)",,"02:32:09 (-2)",(-6)
8,"team0765 NFLS-T10 南京外国语学校",7,23:08:52,"00:36:29 (-5)",(-4),,"02:26:18 (-8)","03:55:08 (-1)","00:20:46 (-1)",,"03:55:37 (-1)",,"00:16:58 (-2)",,"04:57:36 (-2)",
9,"team0424 长郡中学2队 长沙市长郡中学",7,30:51:33,"00:05:48 (-1)",(-10),,"03:08:01 (-2)","04:39:41 (-4)",00:11:22,,"03:36:23 (-5)",,"03:35:46 (-10)",,"04:54:32 (-10)",
10,"team0427 长郡中学5队 长沙市长郡中学",6,09:37:57,00:09:17,(-1),,02:17:38,03:17:35,00:45:48,,02:47:52,,00:19:47,,,
11,"team0769 NFLS-T14 南京外国语学校",6,09:55:59,00:06:14,(-4),(-2),"04:14:50 (-1)",02:08:10,00:29:24,(-1),(-25),,00:17:52,,"01:59:29 (-1)",(-67)
12,"team0774 NFLS-T19 南京外国语学校",6,11:15:58,00:05:10,(-6),,01:50:41,01:22:43,"00:22:31 (-1)",,"01:40:21 (-4)",,(-8),,"02:54:32 (-4)",
13,"team0788 毛球 深圳中学",6,11:48:51,00:08:55,(-1),,02:21:15,02:00:54,00:32:14,,"04:35:40 (-2)",,01:29:53,,,
14,"team0425 长郡中学3队 长沙市长郡中学",6,12:36:18,"00:15:45 (-2)","01:14:17 (-3)",,02:39:42,"02:37:05 (-1)",01:31:18,,(-14),,"01:18:11 (-3)",,,
15,"team0780 SMZX02 佛山石门中学",6,12:40:48,00:15:17,(-2),,"02:08:12 (-2)","01:59:00 (-1)",01:07:02,,"04:20:38 (-4)",,00:30:39,,,
16,"team0499 清华附中2队 清华大学附属中学",6,13:45:18,00:06:09,,,"02:09:34 (-5)","02:00:19 (-3)",00:48:31,,03:08:00,,"01:32:45 (-4)",,(-16),(-10)
17,"team0326 双十中学1队 福建省厦门双十中学",6,13:57:31,00:11:57,,,"03:53:27 (-2)","01:55:21 (-1)",00:42:25,,,,01:21:51,,04:52:30,
18,"team0783 NFLS-T28 南京外国语学校",6,14:31:00,00:39:51,,,"04:03:02 (-2)",02:11:04,"01:37:20 (-1)",,,,00:31:56,,"04:07:47 (-1)",
19,"team0442 关注李兰小猫咪谢谢喵 湖南师范大学附属中学",6,15:54:49,"00:06:47 (-1)",,,"02:53:40 (-1)","00:54:37 (-1)",00:36:02,,"04:25:02 (-6)",,"02:18:41 (-5)",,(-7),
20,"team0576 YWZX06 义乌中学",6,17:43:36,00:11:00,04:26:18,,03:15:00,04:20:19,01:47:39,,(-2),,03:43:20,,,
21,"team0082 SSL01 东莞市东莞中学松山湖学校",6,26:33:26,00:17:22,,,"03:08:33 (-2)","04:00:30 (-2)",01:03:35,,04:54:31,,"02:48:55 (-27)",,,
22,"team0423 长郡中学1队 长沙市长郡中学",5,07:00:32,"00:07:02 (-1)",,,01:36:43,02:45:25,00:24:34,,,,"00:46:48 (-3)",,,
23,"team0097 在学校咱们就练起来！ 北京邮电大学",5,09:32:58,00:10:42,(-1),,"02:48:02 (-2)",03:05:16,"01:07:30 (-1)",,,,"00:41:28 (-2)",,,
24,"team0426 长郡中学4队 长沙市长郡中学",5,09:40:14,"00:10:16 (-1)",(-4),,02:09:25,"02:53:22 (-1)","01:19:24 (-1)",,,,"00:47:47 (-4)",,,(-3)
25,"team0428 长郡中学6队 长沙市长郡中学",5,10:34:24,00:12:43,,,"03:24:54 (-5)","02:03:30 (-1)","01:25:06 (-1)",,(-4),,"00:28:11 (-2)",,,
26,"team0039 华东师大二附中二队 华东师范大学第二附属中学",5,10:42:37,00:20:41,,,"03:33:41 (-3)",02:52:24,00:40:24,,,,"01:35:27 (-2)",,,
27,"team0308 华附3队 华南师范大学附属中学",5,11:49:00,"00:16:11 (-2)",,,"01:42:01 (-3)","02:25:44 (-2)",00:58:33,,(-6),,"02:06:31 (-6)",,,(-2)
28,"team0554 温中4队 温州中学",5,12:31:59,00:06:44,(-2),,"04:56:47 (-2)",03:10:52,01:54:07,,,,01:43:29,,,
29,"team0574 YWZX04 义乌中学",5,12:33:48,00:11:10,,,03:54:34,04:11:13,01:19:13,,,,02:57:38,,,
30,"team0571 YWZX01 义乌中学",5,14:10:06,00:10:29,,,03:34:34,04:20:50,02:43:47,,,,03:20:26,,,
31,"team0770 NFLS-T15 南京外国语学校",5,14:48:38,00:11:04,,,,"03:46:10 (-1)","02:08:09 (-1)",,(-10),,"04:25:29 (-6)",,"00:57:46 (-2)",
32,"team0773 NFLS-T18 南京外国语学校",5,15:07:43,00:10:48,,,"04:36:51 (-2)","02:51:11 (-2)",03:38:09,,,,"01:50:44 (-2)",,,(-2)
33,"team0789 甄综术艺 浙江省瑞安中学",5,15:16:44,"00:11:47 (-1)",,,"04:41:06 (-1)","03:01:59 (-2)",01:56:20,,,,"03:05:32 (-3)",,,
34,"team0573 YWZX03 义乌中学",5,15:29:35,00:09:57,,,03:54:11,04:10:58,"01:18:19 (-1)",,,,"02:56:10 (-8)",,,
35,"team0526 绍一1队 绍兴市第一中学",5,15:39:56,"00:19:46 (-3)",,,"02:30:29 (-1)",03:36:05,00:51:27,,,,"04:42:09 (-7)",,,
36,"team0766 NFLS-T11 南京外国语学校",5,15:41:30,"00:18:31 (-1)",,,"03:50:41 (-6)","03:41:57 (-1)","00:37:41 (-1)",,,,"01:52:40 (-7)",,,
37,"team0775 NFLS-T20 南京外国语学校",5,15:45:26,"00:26:33 (-1)",,,"02:54:50 (-2)",,"03:26:58 (-3)",,"04:43:48 (-3)",,"00:53:17 (-1)",,,
38,"team0088 SSL07 东莞市东莞中学松山湖学校",5,17:23:05,"00:20:50 (-1)",(-1),,"04:37:24 (-2)","04:55:00 (-1)",01:25:08,,,,"03:24:43 (-4)",,,
39,"team0230 六神合体 湖南长沙麓山国际实验学校",5,18:04:15,00:18:00,(-9),(-1),"01:11:11 (-1)",02:24:05,"01:51:26 (-1)",,(-2),,"04:19:33 (-22)",,,
40,"team0314 华附9队 华南师范大学附属中学",5,18:33:24,"00:47:07 (-1)",,,"03:56:46 (-3)","02:16:09 (-4)",01:27:29,,(-1),,"02:45:53 (-14)",(-1),(-1),
41,"team0777 NFLS-T22 南京外国语学校",5,18:58:35,00:09:07,(-5),,"04:17:09 (-5)",03:54:47,"03:23:12 (-1)",,(-1),,"02:54:20 (-7)",,,
42,"team0575 YWZX05 义乌中学",5,20:35:38,"00:10:45 (-2)",(-12),,03:14:49,04:19:31,01:47:25,,,,"03:43:08 (-20)",,,
43,"team0572 YWZX02 义乌中学",5,21:08:09,"00:10:07 (-1)",,,"03:34:23 (-6)","04:20:40 (-4)",02:43:24,,,,"03:19:35 (-10)",,,
44,"team0309 华附4队 华南师范大学附属中学",4,05:23:17,00:35:37,,,(-3),02:00:35,00:50:27,,(-4),,"01:36:38 (-1)",,,
45,"team0785 QZEZ02 衢州第二中学",4,06:34:36,"00:33:20 (-1)",(-4),,"01:31:17 (-1)",,02:39:48,,,,"00:50:11 (-1)",,,
46,"team0083 SSL02 东莞市东莞中学松山湖学校",4,06:43:47,00:07:16,(-3),,02:15:47,,01:01:39,,,,"01:59:05 (-4)",,,
47,"team0760 NFLS-T05 南京外国语学校",4,07:03:33,00:08:50,,,(-3),02:29:15,"01:49:18 (-1)",,,,"00:56:10 (-4)",,,
48,"team0781 SMZX03 佛山石门中学",4,08:14:19,"00:32:08 (-2)",,,(-5),"03:23:07 (-2)","01:44:22 (-2)",,,,00:34:42,,,
49,"team0763 NFLS-T08 南京外国语学校",4,08:15:38,"00:10:02 (-1)",,,,03:20:37,"02:41:22 (-2)",,,,01:03:37,,,
50,"team0761 NFLS-T06 南京外国语学校",4,08:54:26,"00:06:52 (-1)",(-1),,,"03:13:39 (-1)","01:46:39 (-1)",,,,"02:27:16 (-1)",,,
