Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
1,"team0662 NJU-T12 南京大学",9,22:31:28,00:03:07,"02:24:26 (-3)",,00:15:31,00:45:27,"01:06:19 (-1)","04:06:59 (-7)","01:51:00 (-8)",,00:29:51,,"03:48:48 (-4)",(-14)
2,"team0756 NFLS-T01 南京外国语学校",9,28:00:02,00:07:00,(-9),,"01:37:51 (-1)",02:39:12,"00:26:20 (-1)",,"03:05:22 (-1)","04:51:21 (-2)","02:45:29 (-5)",(-1),"03:44:04 (-5)","02:03:23 (-5)"
3,"team0779 SMZX01 佛山石门中学",9,28:29:45,"00:13:07 (-2)","03:32:49 (-12)",,01:06:09,01:34:03,00:23:01,,"04:32:02 (-8)",,"00:53:05 (-2)",,"02:31:25 (-1)","04:24:04 (-3)"
4,"team0513 北大3队 北京大学",8,11:19:30,00:12:54,(-13),,"01:28:29 (-1)","01:10:05 (-1)","00:28:36 (-1)",(-12),"00:29:43 (-1)",,00:33:58,,01:33:52,"03:01:53 (-3)"
5,"team0113 妈妈 华东师范大学",8,22:03:53,"00:11:09 (-1)",,,"02:40:46 (-4)",01:42:12,00:45:29,"03:58:34 (-3)","02:33:15 (-5)",,01:16:47,,"04:15:41 (-1)",
6,"team0759 NFLS-T04 南京外国语学校",8,23:23:41,00:07:22,,,04:19:58,"02:34:56 (-2)",00:16:23,,"03:04:35 (-9)","03:17:40 (-2)","00:50:56 (-3)",,,"01:31:51 (-6)"
7,"team0758 NFLS-T03 南京外国语学校",8,25:39:34,"00:12:09 (-3)",,,01:24:06,01:28:43,"01:15:43 (-2)","02:58:09 (-4)","03:37:28 (-8)",,"01:49:26 (-5)",,"04:13:50 (-4)",
8,"team0511 北大1队 北京大学",7,07:49:35,00:19:30,,,01:00:42,00:45:04,00:12:49,,"02:30:32 (-1)",(-3),00:30:17,,02:10:41,
9,"team0018 ZJUT1 浙江工业大学",7,10:13:10,00:13:45,(-12),,"01:06:30 (-1)",01:42:48,00:10:33,(-1),"03:00:39 (-3)",,01:03:08,,01:35:47,
10,"team0862 感觉有点困难 香港科技大学",7,11:25:39,00:43:53,(-2),,00:31:50,"01:28:26 (-1)",00:25:17,,"03:12:47 (-3)",,"00:48:26 (-1)",,02:35:00,
11,"team0701 故障吉奇人 吉林大学",7,11:37:25,00:04:45,(-2),,"01:53:40 (-1)","01:51:49 (-1)",00:25:55,,01:01:11,,"01:29:00 (-3)",,03:11:05,
12,"team0922 fduteam02 复旦大学",7,14:25:28,"00:07:36 (-2)",(-6),,"02:02:18 (-8)",00:30:07,00:42:12,,"03:42:17 (-1)",,"00:52:38 (-2)",,02:08:20,
13,"team0502 清华2队 清华大学",7,14:57:38,00:11:23,(-3),,02:34:01,01:29:30,"00:58:33 (-3)",,"02:46:36 (-1)",,"00:57:10 (-1)",,"03:20:25 (-3)",
14,"team0982 金陵2队 南京市第一中学",7,16:27:21,00:38:51,,,01:57:09,"01:54:04 (-1)","01:27:41 (-1)",,02:55:36,,"01:17:40 (-4)",,"03:56:20 (-1)",
15,"team0687 njusz02 南京大学苏州校区",7,17:39:45,"00:16:52 (-1)",,,02:47:17,02:28:56,"01:25:21 (-2)",,"04:02:00 (-1)",,"00:45:21 (-1)",,04:13:58,
16,"team0771 NFLS-T16 南京外国语学校",7,19:00:37,"00:19:46 (-2)",,,"02:33:36 (-1)",01:46:17,00:34:35,,"02:20:41 (-10)",,"01:26:27 (-2)",,,"04:39:15 (-1)"
17,"team0660 NJU-T10 南京大学",7,19:07:03,00:13:09,,,"03:24:37 (-3)",02:10:01,"02:12:17 (-1)",,04:22:27,,"01:20:42 (-3)","02:23:50 (-2)",(-1),(-2)
18,"team0434 csu006 中南大学",7,20:13:20,00:08:44,,,"03:46:49 (-1)",02:05:45,"02:09:25 (-1)",,"03:20:45 (-4)",,00:32:30,,"04:49:22 (-4)",
19,"team0921 fduteam01 复旦大学",7,20:40:42,00:06:30,,,"01:32:42 (-1)","01:12:16 (-1)",00:53:51,,"03:50:22 (-4)",,"02:15:28 (-6)",,"04:29:33 (-7)",
20,"team0757 NFLS-T02 南京外国语学校",7,21:01:33,"00:05:32 (-1)",(-37),,"00:54:37 (-1)","01:21:13 (-1)",00:40:23,,"04:39:28 (-23)",,"01:08:11 (-1)",,"02:32:09 (-2)",(-6)
21,"team0858 NJU-T17 南京大学",7,21:40:38,"00:10:19 (-1)",(-4),,"02:46:58 (-5)",01:40:28,01:13:41,,"04:21:04 (-5)",,"01:06:43 (-3)",,"04:21:25 (-4)",
22,"team0765 NFLS-T10 南京外国语学校",7,23:08:52,"00:36:29 (-5)",(-4),,"02:26:18 (-8)","03:55:08 (-1)","00:20:46 (-1)",,"03:55:37 (-1)",,"00:16:58 (-2)",,"04:57:36 (-2)",
23,"team0461 njupt26t01 南京邮电大学",7,26:38:53,00:11:58,,,"02:26:24 (-1)",02:56:33,00:28:37,"04:54:44 (-7)","04:09:19 (-18)",,"00:51:18 (-6)",,,
24,"team0255 金角大王带紫金红葫芦 中国地质大学（北京）",7,28:57:09,"00:19:31 (-3)",(-3),,01:03:29,"02:38:39 (-3)",00:27:48,,"04:30:21 (-2)",,"03:50:47 (-24)",,"03:46:34 (-5)",
25,"team0424 长郡中学2队 长沙市长郡中学",7,30:51:33,"00:05:48 (-1)",(-10),,"03:08:01 (-2)","04:39:41 (-4)",00:11:22,,"03:36:23 (-5)",,"03:35:46 (-10)",,"04:54:32 (-10)",
26,"team0427 长郡中学5队 长沙市长郡中学",6,09:37:57,00:09:17,(-1),,02:17:38,03:17:35,00:45:48,,02:47:52,,00:19:47,,,
27,"team0769 NFLS-T14 南京外国语学校",6,09:55:59,00:06:14,(-4),(-2),"04:14:50 (-1)",02:08:10,00:29:24,(-1),(-25),,00:17:52,,"01:59:29 (-1)",(-67)
28,"team0804 gemini6.0 南开大学",6,10:43:29,"00:38:38 (-1)",,,02:51:37,00:40:13,00:41:17,,,,01:04:52,,"03:06:52 (-4)",(-1)
29,"team0829 连点成线 华中科技大学",6,11:02:25,00:05:27,,,"02:48:52 (-2)",02:26:44,"01:26:27 (-1)",,"01:15:00 (-1)",,01:39:55,,,
30,"team0365 为什么演奏#include 东南大学",6,11:14:13,00:07:05,(-10),,"01:44:07 (-2)",03:31:07,00:46:03,,(-12),,"01:03:41 (-3)",,02:22:10,
31,"team0774 NFLS-T19 南京外国语学校",6,11:15:58,00:05:10,(-6),,01:50:41,01:22:43,"00:22:31 (-1)",,"01:40:21 (-4)",,(-8),,"02:54:32 (-4)",
32,"team0364 AC自动坤 东南大学",6,11:20:01,"00:14:25 (-1)",(-8),,"03:03:00 (-1)",01:12:11,"00:50:39 (-5)",,(-7),,01:39:56,,"01:39:50 (-1)",
33,"team0788 毛球 深圳中学",6,11:48:51,00:08:55,(-1),,02:21:15,02:00:54,00:32:14,,"04:35:40 (-2)",,01:29:53,,,
34,"team0744 先生，这得花不少token 哈尔滨工业大学（威海）",6,11:50:56,"00:14:54 (-1)",,,"02:04:21 (-1)",02:11:06,"00:30:18 (-1)",(-1),,,"01:10:21 (-1)",,"03:59:56 (-1)",
35,"team0924 fduteam04 复旦大学",6,12:17:57,"00:13:47 (-1)",(-6),,"02:37:04 (-2)",01:47:43,00:58:47,,03:25:25,,"01:15:11 (-3)",,(-1),
36,"team0425 长郡中学3队 长沙市长郡中学",6,12:36:18,"00:15:45 (-2)","01:14:17 (-3)",,02:39:42,"02:37:05 (-1)",01:31:18,,(-14),,"01:18:11 (-3)",,,
37,"team0780 SMZX02 佛山石门中学",6,12:40:48,00:15:17,(-2),,"02:08:12 (-2)","01:59:00 (-1)",01:07:02,,"04:20:38 (-4)",,00:30:39,,,
38,"team0321 hit1队 哈尔滨工业大学（深圳）",6,12:49:25,00:09:37,,,"02:53:20 (-3)","02:10:59 (-1)",03:32:59,,"01:09:37 (-1)",,"00:52:53 (-1)",,(-2),
39,"team0943 HKUST(GZ)008 香港科技大学",6,12:57:07,"00:32:11 (-1)",,,02:16:40,01:40:11,00:42:35,,(-1),,02:10:54,,"04:34:36 (-2)",
40,"team0888 明天一定要开一场了 西安交通大学",6,13:08:22,00:10:19,,,"02:56:13 (-3)",01:05:42,00:59:50,,"04:45:36 (-4)",,00:50:42,,,
41,"team0957 奶龙大游行 个人训练",6,13:22:08,00:04:37,,,00:37:48,"02:18:36 (-1)",00:16:12,,"03:33:19 (-7)",(-2),"01:51:36 (-6)",,,
42,"team0929 fduteam09 复旦大学",6,13:31:04,"00:09:02 (-1)",,,"01:35:36 (-2)","02:05:50 (-1)",00:46:07,,"03:56:27 (-4)",,"01:18:02 (-3)",,,(-19)
43,"team0894 厦大二队 厦门大学",6,13:31:38,"00:13:52 (-1)",,,"01:19:39 (-1)",02:01:05,"01:50:26 (-4)",,,,00:46:47,,"04:39:49 (-2)",
44,"team0499 清华附中2队 清华大学附属中学",6,13:45:18,00:06:09,,,"02:09:34 (-5)","02:00:19 (-3)",00:48:31,,03:08:00,,"01:32:45 (-4)",,(-16),(-10)
