Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team0779 SMZX01 佛山石门中学",10,22:43:36,"02:54:42 (-2)",02:29:31,01:40:58,"00:36:57 (-1)",03:13:11,"04:02:56 (-1)","03:34:35 (-4)",00:21:01,,00:59:48,00:09:57,
2,"team0769 NFLS-T14 南京外国语学校",9,16:49:00,"03:59:46 (-5)","01:36:55 (-1)",00:16:31,"02:53:09 (-1)",,00:37:12,"01:41:08 (-1)",00:58:46,,00:52:50,01:12:43,(-100)
3,"team0771 NFLS-T16 南京外国语学校",9,17:31:40,02:30:59,03:03:59,03:57:58,"01:42:07 (-3)",,"03:15:07 (-1)",00:25:03,00:26:14,,00:35:53,00:14:20,
4,"team0758 NFLS-T03 南京外国语学校",9,17:58:42,"04:31:37 (-1)",,03:34:45,01:17:16,02:51:56,01:57:36,"00:52:01 (-3)",00:34:22,(-1),"00:14:32 (-1)",00:24:37,(-1)
5,"team0777 NFLS-T22 南京外国语学校",9,20:34:45,01:45:02,02:19:15,(-4),01:52:17,05:00:00,04:19:34,"00:56:59 (-4)","01:08:40 (-1)",,01:01:30,00:31:28,
6,"team0765 NFLS-T10 南京外国语学校",9,22:33:27,"04:28:14 (-1)",03:20:19,04:06:26,01:54:28,01:35:37,(-2),00:41:38,"02:21:46 (-1)",,"01:43:01 (-1)","01:01:58 (-1)",
7,"team0326 双十中学1队 福建省厦门双十中学",9,24:21:05,"02:47:30 (-2)","04:58:18 (-1)","04:42:06 (-3)",00:36:31,,04:34:03,01:37:09,00:26:22,,"01:06:56 (-1)","00:52:10 (-1)",
8,"team0426 长郡中学4队 长沙市长郡中学",8,16:31:40,03:26:54,,"04:23:32 (-1)",00:32:28,,"00:24:20 (-1)",01:39:30,"01:18:19 (-2)",,"01:42:58 (-2)","00:43:39 (-1)",
9,"team0770 NFLS-T15 南京外国语学校",8,16:34:08,,"04:57:44 (-1)",03:53:28,01:09:58,,02:20:46,02:10:53,00:36:07,,01:00:13,00:04:59,
10,"team0757 NFLS-T02 南京外国语学校",8,18:28:02,(-11),"04:45:33 (-1)","02:30:03 (-2)","01:37:16 (-1)",,"04:11:12 (-1)",01:18:57,00:47:25,,"00:36:03 (-1)",00:41:33,
11,"team0082 SSL01 东莞市东莞中学松山湖学校",8,22:21:18,03:33:42,"00:27:57 (-1)",,02:31:45,,04:51:05,01:38:06,"01:37:18 (-3)",,02:14:57,"03:06:28 (-3)",
12,"team0425 长郡中学3队 长沙市长郡中学",8,23:13:06,"04:11:30 (-1)",03:56:09,,03:42:11,,"02:54:35 (-3)",01:21:47,"01:20:51 (-1)",,"02:35:55 (-1)",01:10:08,
13,"team0762 NFLS-T07 南京外国语学校",7,12:48:45,"03:29:24 (-2)",,,"01:01:48 (-1)",,01:56:59,00:45:23,"01:29:40 (-2)",,01:07:49,"00:37:42 (-2)",
14,"team0761 NFLS-T06 南京外国语学校",7,17:02:36,"04:11:42 (-1)",01:46:05,,"02:12:02 (-2)",,,02:50:58,01:29:58,,"01:32:22 (-3)",00:59:29,
15,"team0427 长郡中学5队 长沙市长郡中学",7,18:00:22,01:41:11,,,"04:57:35 (-1)",,03:58:48,04:26:35,"00:44:36 (-1)",,01:10:49,00:20:48,
16,"team0780 SMZX02 佛山石门中学",7,18:35:15,(-12),,"04:46:34 (-2)",02:28:55,,"04:27:55 (-1)",02:29:58,00:56:02,,01:34:47,"00:31:04 (-1)",
17,"team0088 SSL07 东莞市东莞中学松山湖学校",7,19:15:27,"01:01:52 (-2)",04:41:50,,04:19:37,,(-2),04:00:28,01:53:37,,01:25:26,01:12:37,
18,"team0428 长郡中学6队 长沙市长郡中学",7,19:56:06,"04:54:56 (-2)",,,"03:11:38 (-1)",,"03:45:03 (-2)",01:13:14,"02:36:51 (-2)",,01:18:08,00:36:16,
