Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team0701 故障吉奇人 吉林大学",10,17:53:54,00:36:17,02:36:52,01:48:51,"01:19:02 (-1)",04:05:19,02:40:03,01:09:28,"00:52:08 (-3)",,00:45:27,00:40:27,
2,"team0779 SMZX01 佛山石门中学",10,22:43:36,"02:54:42 (-2)",02:29:31,01:40:58,"00:36:57 (-1)",03:13:11,"04:02:56 (-1)","03:34:35 (-4)",00:21:01,,00:59:48,00:09:57,
3,"team0769 NFLS-T14 南京外国语学校",9,16:49:00,"03:59:46 (-5)","01:36:55 (-1)",00:16:31,"02:53:09 (-1)",,00:37:12,"01:41:08 (-1)",00:58:46,,00:52:50,01:12:43,(-100)
4,"team0771 NFLS-T16 南京外国语学校",9,17:31:40,02:30:59,03:03:59,03:57:58,"01:42:07 (-3)",,"03:15:07 (-1)",00:25:03,00:26:14,,00:35:53,00:14:20,
5,"team0758 NFLS-T03 南京外国语学校",9,17:58:42,"04:31:37 (-1)",,03:34:45,01:17:16,02:51:56,01:57:36,"00:52:01 (-3)",00:34:22,(-1),"00:14:32 (-1)",00:24:37,(-1)
6,"team0662 NJU-T12 南京大学",9,17:59:05,"03:07:09 (-5)",01:42:55,,01:09:02,"03:57:29 (-1)","01:57:48 (-1)","01:21:02 (-1)","00:41:10 (-2)",,00:18:39,00:23:51,(-57)
7,"team0792 天铸币 北京航空航天大学",9,18:16:07,04:14:59,(-1),"01:29:25 (-1)",02:09:13,03:20:49,04:00:34,01:06:51,00:28:42,,00:48:10,00:17:24,
8,"team0777 NFLS-T22 南京外国语学校",9,20:34:45,01:45:02,02:19:15,(-4),01:52:17,05:00:00,04:19:34,"00:56:59 (-4)","01:08:40 (-1)",,01:01:30,00:31:28,
9,"team0255 金角大王带紫金红葫芦 中国地质大学（北京）",9,22:04:13,"00:43:55 (-1)",02:31:00,"04:59:24 (-1)",01:50:57,01:08:18,(-12),"03:09:52 (-1)","00:58:46 (-3)",,"01:50:29 (-2)",02:11:32,(-3)
10,"team0765 NFLS-T10 南京外国语学校",9,22:33:27,"04:28:14 (-1)",03:20:19,04:06:26,01:54:28,01:35:37,(-2),00:41:38,"02:21:46 (-1)",,"01:43:01 (-1)","01:01:58 (-1)",
11,"team0326 双十中学1队 福建省厦门双十中学",9,24:21:05,"02:47:30 (-2)","04:58:18 (-1)","04:42:06 (-3)",00:36:31,,04:34:03,01:37:09,00:26:22,,"01:06:56 (-1)","00:52:10 (-1)",
12,"team0924 fduteam04 复旦大学",9,26:02:07,"04:15:12 (-2)",04:45:17,"04:18:15 (-3)","02:45:55 (-1)",,02:06:26,"01:12:15 (-2)","01:06:47 (-1)",,01:13:57,"00:58:03 (-1)",
13,"team0954 GodKnows 个人训练",9,36:44:15,,"04:53:23 (-4)","02:28:30 (-3)","03:40:15 (-7)",03:14:27,"03:57:23 (-2)",01:59:34,"02:38:44 (-1)",,02:47:51,"01:44:08 (-11)",
14,"team0943 HKUST(GZ)008 香港科技大学",8,14:18:07,(-4),(-1),01:44:15,"01:28:16 (-1)",02:45:40,03:24:27,"02:33:01 (-1)",00:56:22,,00:29:57,00:16:09,
15,"team0862 感觉有点困难 香港科技大学",8,14:53:02,(-6),"03:22:15 (-1)","03:11:10 (-1)",01:45:25,(-3),00:28:24,"01:55:01 (-1)",00:59:41,,01:24:32,00:46:34,
16,"team0426 长郡中学4队 长沙市长郡中学",8,16:31:40,03:26:54,,"04:23:32 (-1)",00:32:28,,"00:24:20 (-1)",01:39:30,"01:18:19 (-2)",,"01:42:58 (-2)","00:43:39 (-1)",
17,"team0770 NFLS-T15 南京外国语学校",8,16:34:08,,"04:57:44 (-1)",03:53:28,01:09:58,,02:20:46,02:10:53,00:36:07,,01:00:13,00:04:59,
18,"team0502 清华2队 清华大学",8,17:48:28,,"03:49:02 (-1)",04:47:50,01:50:48,,02:43:23,01:33:03,"00:57:25 (-1)",,01:07:26,00:19:31,(-4)
19,"team0757 NFLS-T02 南京外国语学校",8,18:28:02,(-11),"04:45:33 (-1)","02:30:03 (-2)","01:37:16 (-1)",,"04:11:12 (-1)",01:18:57,00:47:25,,"00:36:03 (-1)",00:41:33,
20,"team0901 2026杭电1队 杭州电子科技大学",8,19:06:04,"02:27:35 (-1)","04:16:32 (-1)",,"03:07:23 (-3)",,"03:39:33 (-2)",01:24:38,"00:15:05 (-1)",,"00:41:21 (-1)",00:13:57,
21,"team0921 fduteam01 复旦大学",8,20:37:05,,,"03:59:57 (-3)",01:45:49,03:11:46,"03:47:37 (-2)","02:20:41 (-1)",01:24:16,,"01:00:50 (-1)",00:46:09,
22,"team0513 北大3队 北京大学",8,21:35:17,00:52:16,04:44:44,,01:28:05,,"04:18:05 (-16)",02:03:14,00:35:47,,"01:09:38 (-2)",00:23:28,
23,"team0082 SSL01 东莞市东莞中学松山湖学校",8,22:21:18,03:33:42,"00:27:57 (-1)",,02:31:45,,04:51:05,01:38:06,"01:37:18 (-3)",,02:14:57,"03:06:28 (-3)",
24,"team0652 NJU-T02 南京大学",8,22:59:52,"03:27:30 (-1)",04:45:12,,01:35:38,,"04:12:47 (-10)","02:21:53 (-2)",00:29:47,,00:46:27,01:00:38,
25,"team0425 长郡中学3队 长沙市长郡中学",8,23:13:06,"04:11:30 (-1)",03:56:09,,03:42:11,,"02:54:35 (-3)",01:21:47,"01:20:51 (-1)",,"02:35:55 (-1)",01:10:08,
26,"team0762 NFLS-T07 南京外国语学校",7,12:48:45,"03:29:24 (-2)",,,"01:01:48 (-1)",,01:56:59,00:45:23,"01:29:40 (-2)",,01:07:49,"00:37:42 (-2)",
27,"team0206 湘潭大学1队 湘潭大学",7,13:22:50,"04:43:36 (-1)",,(-8),01:53:20,,"02:26:37 (-1)",00:55:32,01:18:40,,01:00:06,00:24:59,
28,"team0942 HKUST(GZ)007 香港科技大学",7,13:58:58,02:59:02,"03:39:40 (-1)",(-2),01:49:37,,(-1),00:39:23,"01:25:56 (-2)",,01:11:03,01:14:17,
29,"team0511 北大1队 北京大学",7,14:24:34,,,"01:26:41 (-1)",01:42:20,,"03:21:26 (-2)","02:40:02 (-1)","01:22:05 (-2)",,01:19:22,00:32:38,
30,"team0922 fduteam02 复旦大学",7,14:31:59,(-10),,"01:46:52 (-5)","00:20:11 (-3)",,"04:25:42 (-1)",02:46:46,00:33:15,,00:59:30,00:39:43,
31,"team0888 明天一定要开一场了 西安交通大学",7,14:33:56,,03:30:23,(-1),"01:44:45 (-3)",,"03:55:49 (-1)",02:25:39,"00:25:14 (-1)",,00:40:15,00:11:51,
32,"team0223 小来啃老，老来啃小 上海师范大学",7,15:10:24,03:57:43,,(-3),02:24:00,,02:52:45,01:22:14,"01:43:58 (-2)",,01:33:24,00:36:20,
33,"team0959 干饭三大碗 个人训练",7,15:54:48,03:05:39,,,02:12:43,,04:48:16,01:59:58,"00:48:16 (-1)",,01:23:23,"00:56:33 (-1)",
34,"team0581 UESTC-1队 电子科技大学",7,16:28:04,"04:02:54 (-4)",,,01:32:11,,03:58:45,"02:27:17 (-1)","00:30:17 (-2)",,01:03:26,00:33:14,
35,"team0761 NFLS-T06 南京外国语学校",7,17:02:36,"04:11:42 (-1)",01:46:05,,"02:12:02 (-2)",,,02:50:58,01:29:58,,"01:32:22 (-3)",00:59:29,
36,"team0653 NJU-T03 南京大学",7,17:10:17,03:03:48,,,02:03:04,,04:48:59,04:26:44,00:29:36,,01:14:35,"00:43:31 (-1)",
37,"team0427 长郡中学5队 长沙市长郡中学",7,18:00:22,01:41:11,,,"04:57:35 (-1)",,03:58:48,04:26:35,"00:44:36 (-1)",,01:10:49,00:20:48,
38,"team0780 SMZX02 佛山石门中学",7,18:35:15,(-12),,"04:46:34 (-2)",02:28:55,,"04:27:55 (-1)",02:29:58,00:56:02,,01:34:47,"00:31:04 (-1)",
39,"team0088 SSL07 东莞市东莞中学松山湖学校",7,19:15:27,"01:01:52 (-2)",04:41:50,,04:19:37,,(-2),04:00:28,01:53:37,,01:25:26,01:12:37,
40,"team0365 为什么演奏#include 东南大学",7,19:41:48,"01:04:35 (-3)",,"04:12:02 (-4)",01:37:45,,(-2),04:14:37,"01:06:00 (-1)",,"03:24:31 (-3)",00:22:18,(-1)
41,"team0829 连点成线 华中科技大学",7,19:46:15,"04:27:38 (-1)","02:29:57 (-4)",,02:42:12,,,03:33:27,"00:48:01 (-1)",,"01:33:59 (-1)",01:51:01,
42,"team0957 奶龙大游行 个人训练",7,19:53:10,(-1),(-1),"04:54:47 (-1)","03:09:18 (-2)",(-1),02:58:28,"02:02:30 (-4)","01:02:47 (-4)",(-1),"01:14:07 (-1)",00:31:13,(-1)
43,"team0428 长郡中学6队 长沙市长郡中学",7,19:56:06,"04:54:56 (-2)",,,"03:11:38 (-1)",,"03:45:03 (-2)",01:13:14,"02:36:51 (-2)",,01:18:08,00:36:16,
44,"team0759 NFLS-T04 南京外国语学校",7,20:05:31,,,"04:23:40 (-5)","02:11:30 (-1)",,"03:04:55 (-4)","01:37:22 (-6)","00:30:12 (-2)",,"01:33:52 (-1)",00:24:00,
45,"team0424 长郡中学2队 长沙市长郡中学",7,22:36:14,04:25:19,,(-3),"03:32:06 (-1)",,"03:28:16 (-7)","02:25:37 (-4)",01:32:54,,"01:57:57 (-3)",00:14:05,
46,"team0321 hit1队 哈尔滨工业大学（深圳）",7,22:39:38,"04:03:52 (-5)",,,01:49:07,,03:52:11,"03:43:33 (-2)",00:51:02,,"01:04:32 (-1)",04:35:21,
47,"team0989 湘岚I 湖南第一师范学院",7,23:40:25,(-1),04:45:24,,02:53:33,04:30:13,(-1),03:25:41,03:52:55,,01:54:51,02:17:48,
48,"team0499 清华附中2队 清华大学附属中学",7,27:20:40,04:26:08,,,"04:46:17 (-3)",,"03:32:03 (-1)","04:16:40 (-4)",01:11:12,,03:06:08,"02:42:12 (-2)",
49,"team0806 想成为女铜吧 南开大学",6,08:03:55,,,(-2),01:54:56,,00:33:34,01:42:23,"01:05:16 (-1)",,01:22:50,01:04:56,
